player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
Johan Mojica,33,Colombia,RCD Mallorca,2024,2025,48,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/262939-1541161893.jpg?lm=1
Karl Etta Eyong,22,Cameroon,Villarreal,2024,2025,16,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/1038950-1759409401.jpg?lm=1
Mario Martín,21,Spain,Getafe,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/948273-1707861820.jpg?lm=1
Omar El Hilali,22,Morocco,Espanyol,2024,2025,48,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/822331-1683211692.jpg?lm=1
Omar El Hilali,18,Morocco,Espanyol,2022,2022,5,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/822331-1683211692.jpg?lm=1
Cucho Hernández,26,Colombia,Real Betis,2024,2025,27,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/459463-1709482118.jpg?lm=1
Marcos Llorente,30,Spain,Atlético,2019,2025,199,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/282411-1684159821.jpg?lm=1
Mikel Jauregizar,21,Spain,Athletic Club,2023,2025,53,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/938729-1709675994.png?lm=1
Ilaix Moriba,22,Guinea,Celta de Vigo,2024,2025,45,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/617074-1758827372.jpg?lm=1
Carlos Álvarez,22,Spain,Levante,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/668179-1726053882.jpg?lm=1
Alberto Moleiro,22,Spain,Villarreal,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/733576-1737365948.jpg?lm=1
Álvaro Carreras,22,Spain,Real Madrid,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/811778-1737497415.jpg?lm=1
Javi Guerra,22,Spain,Valencia,2022,2025,94,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/834764-1696188716.jpg?lm=1
Javi Guerra,24,Spain,Valencia,2006,2006,2,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/46215-1447238261.jpg?lm=1
Pablo Marín,22,Spain,Real Sociedad,2024,2025,35,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/907813-1683212131.jpg?lm=1
Pablo Marín,18,Spain,Real Sociedad,2022,2022,10,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/907813-1683212131.jpg?lm=1
Víctor Muñoz,22,Spain,CA Osasuna,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/935231-1747037145.jpg?lm=1
Diego López,23,Spain,Valencia,2022,2025,96,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/617081-1683211924.jpg?lm=1
Tyrhys Dolan,23,England,Espanyol,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/647435-1679678061.jpg?lm=1
César Tárrega,23,Spain,Valencia,2023,2025,47,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/707274-1698963222.jpg?lm=1
Roberto Fernández,23,Spain,Espanyol,2024,2025,31,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/720518-1732827310.jpg?lm=1
Eric García,24,Spain,Barcelona,2024,2025,41,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/466794-1693604801.jpg?lm=1
Eric García,21,Spain,Barcelona,2021,2022,50,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/466794-1693604801.jpg?lm=1
Julen Agirrezabala,24,Spain,Valencia,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/625014-1709674945.png?lm=1
Natan,24,Brazil,Real Betis,2024,2025,43,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/735568-1708553167.jpg?lm=1
Sergio Gómez,25,Spain,Real Sociedad,2024,2025,49,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/366930-1727678534.jpg?lm=1
Conor Gallagher,25,England,Atlético,2024,2025,44,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/488362-1668500476.jpg?lm=1
Álvaro Núñez,25,Spain,Elche CF,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/626953-1752919393.jpg?lm=1
Raúl García,25,Spain,CA Osasuna,2023,2025,79,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/631002-1614090749.jpg?lm=1
Raúl García,24,Spain,CA Osasuna,2011,2011,33,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/34601-1709676479.png?lm=1
Raúl García,19,Spain,CA Osasuna,2004,2006,68,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/34601-1709676479.png?lm=1
Pol Lozano,26,Spain,Espanyol,2024,2025,42,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/412045-1568028635.jpg?lm=1
Pol Lozano,22,Spain,Espanyol,2022,2022,4,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/412045-1568028635.jpg?lm=1
Pol Lozano,19,Spain,Espanyol,2019,2019,5,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/412045-1568028635.jpg?lm=1
Carlos Vicente,26,Spain,Alavés,2023,2025,67,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/540536-1732115480.jpg?lm=1
Hugo Duro,26,Spain,Valencia,2022,2025,110,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/573775-1683213249.jpg?lm=1
Carles Aleñá,27,Spain,Alavés,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/284854-1669364902.jpg?lm=1
Pedro Díaz,27,Spain,Rayo Vallecano,2024,2025,38,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/363057-1664207844.jpg?lm=1
Jon Moncayola,27,Spain,CA Osasuna,2019,2025,213,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/552425-1583310847.jpg?lm=1
Pep Chavarría,27,Spain,Rayo Vallecano,2022,2025,83,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/596122-1744713547.jpg?lm=1
Pablo Ibáñez,27,Spain,Alavés,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/785353-1680676751.jpg?lm=1
Gonçalo Guedes,28,Portugal,Real Sociedad,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/225122-1701334424.jpg?lm=1
Toni Martínez,28,Spain,Alavés,2024,2025,40,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/302371-1606396665.png?lm=1
Igor Zubeldia,28,Spain,Real Sociedad,2015,2025,246,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/355628-1664974849.jpg?lm=1
Arnaut Danjuma,28,Netherlands,Valencia,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/355861-1674657323.jpg?lm=1
Rafa Mir,28,Spain,Elche CF,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/361254-1720020544.jpg?lm=1
Aleix Febas,29,Spain,Elche CF,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/217144-1448531418.jpg?lm=1
Augusto Batalla,29,Argentina,Rayo Vallecano,2024,2025,44,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/275218-1656336113.JPG?lm=1
Martin Valjent,29,Slovakia,RCD Mallorca,2021,2025,137,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/277384-1738232660.jpg?lm=1
Martin Valjent,23,Slovakia,RCD Mallorca,2019,2019,36,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/277384-1738232660.jpg?lm=1
Antonio Sivera,29,Spain,Alavés,2023,2025,78,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/298197-1713856039.jpg?lm=1
Antonio Sivera,24,Spain,Alavés,2017,2021,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/298197-1713856039.jpg?lm=1
Pablo Fornals,29,Spain,Real Betis,2023,2025,53,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/357885-1714124764.jpg?lm=1
Roger Brugué,29,Spain,Levante,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/557057-1701787446.jpg?lm=1
Héctor Bellerín,30,Spain,Real Betis,2023,2025,44,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/191217-1676903202.jpg?lm=1
Héctor Bellerín,26,Spain,Real Betis,2021,2021,23,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/191217-1676903202.jpg?lm=1
Álex Remiro,30,Spain,Real Sociedad,2019,2025,221,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/212862-1694594210.jpg?lm=1
Aarón Escandell,30,Spain,Real Oviedo,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/284430-1583309348.jpg?lm=1
Baptiste Santamaria,30,France,Valencia,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/285323-1739972064.jpg?lm=1
Mauro Arambarri,30,Uruguay,Getafe,2017,2025,227,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/290249-1669365106.jpg?lm=1
Isi Palazón,30,Spain,Rayo Vallecano,2021,2025,155,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/362086-1726662958.jpg?lm=1
Jeremy Toljan,31,Germany,Levante,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/129674-1692277806.jpg?lm=1
Sergi Darder,31,Spain,RCD Mallorca,2023,2025,86,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/142021-1664975574.jpg?lm=1
Jonny Otto,31,Spain,Alavés,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/175446-1727967204.png?lm=1
Luis Milla,31,Spain,Getafe,2022,2025,99,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/281989-1669364960.jpg?lm=1
Alejandro Catena,31,Spain,CA Osasuna,2023,2025,77,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/449796-1732220159.jpg?lm=1
David Soria,32,Spain,Getafe,2018,2025,267,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/226012-1696863038.jpg?lm=1
Sergio Herrera,32,Spain,CA Osasuna,2019,2025,186,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/248738-1732220099.jpg?lm=1
Luis Rioja,32,Spain,Valencia,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/278837-1647530464.jpg?lm=1
Marko Dmitrovic,33,Serbia,Espanyol,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/94308-1669364494.jpg?lm=1
Álvaro García,33,Spain,Rayo Vallecano,2021,2025,151,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/257062-1762775114.jpg?lm=1
Álvaro García,25,Spain,Rayo Vallecano,2018,2018,35,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/257062-1762775114.jpg?lm=1
Antoine Griezmann,34,France,Atlético,2022,2025,121,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/125781-1719928503.jpg?lm=1
Antoine Griezmann,27,France,Atlético,2014,2018,180,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/125781-1719928503.jpg?lm=1
Florian Lejeune,34,France,Rayo Vallecano,2022,2025,117,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/127108-1496825998.jpg?lm=1
Antonio Raíllo,34,Spain,RCD Mallorca,2021,2025,122,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/278296-1447228780.jpg?lm=1
Antonio Raíllo,27,Spain,RCD Mallorca,2019,2019,32,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/278296-1447228780.jpg?lm=1
Daley Blind,35,Netherlands,Girona,2023,2025,80,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/12282-1718096647.jpg?lm=1
Yuri Berchiche,35,Spain,Athletic Club,2018,2025,203,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/61812-1709675167.png?lm=1
José Luis Morales,38,Spain,Levante,2025,2025,12,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/252677-1447315847.jpg?lm=1
José Luis Morales,33,Spain,Levante,2017,2021,183,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/252677-1447315847.jpg?lm=1
José Luis Morales,27,Spain,Levante,2014,2015,71,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/252677-1447315847.jpg?lm=1
Rahim Alhassane,23,Niger,Real Oviedo,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/929899-1758832463.jpg?lm=1
Rubén Vargas,27,Switzerland,Sevilla FC,2024,2025,22,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/345886-1722850174.jpg?lm=1
Vedat Muriqi,31,Kosovo,RCD Mallorca,2021,2025,120,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/256267-1627914833.jpg?lm=1
Jon Aramburu,23,Venezuela,Real Sociedad,2023,2025,57,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/661145-1719915615.jpg?lm=1
Jules Koundé,26,France,Barcelona,2022,2025,107,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/411975-1702502639.jpg?lm=1
Pape Gueye,26,Senegal,Villarreal,2024,2025,45,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/485963-1604255792.jpg?lm=1
Alexander Sørloth,29,Norway,Atlético,2024,2025,46,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/238407-1716403969.jpg?lm=1
Giovani Lo Celso,29,Argentina,Real Betis,2024,2025,36,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/348795-1726734706.jpg?lm=1
Giovani Lo Celso,22,Argentina,Real Betis,2018,2018,32,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/348795-1726734706.jpg?lm=1
Thomas Partey,32,Ghana,Villarreal,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/230784-1668430877.jpg?lm=1
Ante Budimir,34,Croatia,CA Osasuna,2020,2025,171,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/46413-1732219707.jpg?lm=1
Pablo Barrios,22,Spain,Atlético,2022,2025,87,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/775605-1699431384.jpg?lm=1
Renato Veiga,22,Portugal,Villarreal,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/805714-1749414999.jpg?lm=1
Ferran Torres,25,Spain,Barcelona,2021,2025,118,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/398184-1699383547.jpg?lm=1
Aurélien Tchouaméni,25,France,Real Madrid,2022,2025,103,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/413112-1668500754.jpg?lm=1
Salomón Rondón,36,Venezuela,Real Oviedo,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/80197-1719230840.jpg?lm=1
Dani Vivian,26,Spain,Athletic Club,2021,2025,129,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/524000-1709674998.png?lm=1
Jorge de Frutos,28,Spain,Rayo Vallecano,2023,2025,82,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/455181-1756820871.jpg?lm=1
Vitor Reis,19,Brazil,Girona,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/1005575-1680449774.jpg?lm=1
Hugo Sotelo,21,Spain,Celta de Vigo,2020,2025,55,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/892221-1758827715.jpg?lm=1
Pablo Torre,22,Spain,RCD Mallorca,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/720038-1724406086.jpg?lm=1
Arnau Martínez,22,Spain,Girona,2022,2025,97,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/826224-1701444094.jpg?lm=1
Hugo Rincón,22,Spain,Girona,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/834487-1709677097.png?lm=1
Mateo Joseph,22,Spain,RCD Mallorca,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/834742-1749739164.jpg?lm=1
Germán Valera,23,Spain,Elche CF,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/548188-1588605205.jpg?lm=1
Robert Navarro,23,Spain,Athletic Club,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/563137-1567246327.jpg?lm=1
Ander Barrenetxea,23,Spain,Real Sociedad,2018,2025,161,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/616369-1699472801.jpg?lm=1
Haissem Hassan,23,France,Real Oviedo,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/620164-1759420192.jpg?lm=1
Jon Gorrotxategi,23,Spain,Real Sociedad,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/711374-1727113195.jpg?lm=1
José Ángel Carmona,23,Spain,Sevilla FC,2024,2025,46,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/711625-1696862897.jpg?lm=1
José Ángel Carmona,19,Spain,Sevilla FC,2021,2021,1,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/711625-1696862897.jpg?lm=1
David Affengruber,24,Austria,Elche CF,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/452483-1694017545.jpg?lm=1
Ilyas Chaira,24,Morocco,Real Oviedo,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/593412-1712568424.jpg?lm=1
Carlos Romero,24,Spain,Espanyol,2024,2025,45,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/709372-1747385379.jpg?lm=1
Bryan Zaragoza,24,Spain,Celta de Vigo,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/713644-1714503809.jpg?lm=1
Antonio Blanco,25,Spain,Alavés,2023,2025,79,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/495621-1705337231.jpg?lm=1
Marc Aguado,25,Spain,Elche CF,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/531404-1709050897.jpg?lm=1
Manu Sánchez,25,Spain,Levante,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/618809-1673281847.jpg?lm=1
Óscar Mingueza,26,Spain,Celta de Vigo,2022,2025,104,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/331505-1698852962.jpg?lm=1
Adrián Dela,26,Spain,Levante,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/341263-1698879765.jpg?lm=1
Luka Ilic,26,Serbia,Real Oviedo,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/429790-1725631828.JPG?lm=1
Jesús Areso,26,Spain,Athletic Club,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/488626-1675800186.jpg?lm=1
Juan Iglesias,27,Spain,Getafe,2020,2025,133,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/390688-1632295269.jpg?lm=1
Alberto Reina,27,Spain,Real Oviedo,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/603696-1712568514.jpg?lm=1
Brais Méndez,28,Spain,Real Sociedad,2022,2025,104,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/309110-1665057568.jpg?lm=1
Léo Pétrot,28,France,Elche CF,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/412829-1727723239.jpg?lm=1
Santi Comesaña,29,Spain,Villarreal,2023,2025,73,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/380598-1726231263.jpg?lm=1
Edu Expósito,29,Spain,Espanyol,2024,2025,30,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/506248-1747385472.jpg?lm=1
Edu Expósito,25,Spain,Espanyol,2022,2022,28,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/506248-1747385472.jpg?lm=1
Nahuel Tenaglia,29,Argentina,Alavés,2023,2025,70,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/533568-1647530141.jpg?lm=1
Nahuel Tenaglia,25,Argentina,Alavés,2021,2021,14,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/533568-1647530141.jpg?lm=1
Leander Dendoncker,30,Belgium,Real Oviedo,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/168157-1662059450.jpg?lm=1
Unai López,30,Spain,Rayo Vallecano,2021,2025,138,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/192009-1726662500.jpg?lm=1
André Silva,30,Portugal,Elche CF,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/198008-1724336978.jpg?lm=1
Lucas Torró,31,Spain,CA Osasuna,2020,2025,165,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/213670-1732219931.jpg?lm=1
Iñigo Ruiz de Galarreta,32,Spain,Athletic Club,2023,2025,66,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/126751-1709675810.png?lm=1
Iñigo Ruiz de Galarreta,18,Spain,Athletic Club,2012,2012,3,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/126751-1709675810.png?lm=1
Álex Moreno,32,Spain,Girona,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/193098-1667289023.jpg?lm=1
Diego Rico,32,Spain,Getafe,2023,2025,76,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/249513-1697221474.jpg?lm=1
Koke,33,Spain,Atlético,2009,2025,496,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/74229-1664970397.jpg?lm=1
Paulo Gazzaniga,33,Argentina,Girona,2022,2025,113,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/195488-1544621003.jpg?lm=1
Leandro Cabrera,34,Uruguay,Espanyol,2024,2025,44,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/102423-1747343579.jpg?lm=1
Leandro Cabrera,31,Uruguay,Espanyol,2021,2022,69,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/102423-1747343579.jpg?lm=1
Kike García,35,Spain,Espanyol,2025,2025,11,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/93936-1490620015.jpg?lm=1
Urko González de Zárate,24,Spain,Real Sociedad,2023,2025,34,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/625651-1694171507.jpg?lm=1
Urko González de Zárate,19,Spain,Real Sociedad,2020,2020,2,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/625651-1694171507.jpg?lm=1
Pedri,22,Spain,Barcelona,2020,2025,146,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/683840-1744278342.jpg?lm=1
Federico Viñas,27,Uruguay,Real Oviedo,2025,2025,10,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/578419-1579706844.png?lm=1
Robin Le Normand,28,Spain,Atlético,2024,2025,37,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/351809-1707948228.jpg?lm=1
Frenkie de Jong,28,Netherlands,Barcelona,2019,2025,187,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/326330-1746041680.jpg?lm=1
Gabriel Suazo,28,Chile,Sevilla FC,2025,2025,10,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/385105-1752224979.jpg?lm=1
Dean Huijsen,20,Spain,Real Madrid,2025,2025,10,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/890290-1750251451.jpg?lm=1
Takefusa Kubo,24,Japan,Real Sociedad,2022,2025,111,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/405398-1697110254.jpg?lm=1
Rodrygo,24,Brazil,Real Madrid,2019,2025,182,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/412363-1746183850.jpg?lm=1
Akor Adams,25,Nigeria,Sevilla FC,2024,2025,14,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/607034-1702663135.JPG?lm=1
Nemanja Gudelj,33,Serbia,Sevilla FC,2019,2025,172,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/74294-1718893660.jpg?lm=1
Ronald Araujo,26,Uruguay,Barcelona,2019,2025,129,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/480267-1736431980.jpg?lm=1
Dani Olmo,27,Spain,Barcelona,2024,2025,35,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/293385-1711546268.jpg?lm=1
Éder Militão,27,Brazil,Real Madrid,2019,2025,128,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/401530-1719653438.jpg?lm=1
Mathew Ryan,33,Australia,Levante,2025,2025,10,LaLiga,https://img.a.transfermarkt.technology/portrait/medium/128969-1668505563.jpg?lm=1
